Landing page,URL,Date,Sessions,Conversions
,https://www.thermofisher.com,10/9/23,95528,87
/search/results,https://www.thermofisher.com/search/results,9/13/23,8717,30
/search/results,https://www.thermofisher.com/search/results,9/19/23,8574,26
/search/results,https://www.thermofisher.com/search/results,9/12/23,8475,29
/search/results,https://www.thermofisher.com/search/results,9/18/23,8341,23
/search/results,https://www.thermofisher.com/search/results,9/14/23,8200,28
/search/results,https://www.thermofisher.com/search/results,10/9/23,8166,10
/search/results,https://www.thermofisher.com/search/results,9/20/23,8122,12
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,10/4/23,7820,22
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,10/3/23,7716,26
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/27/23,7528,30
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,10/5/23,7503,15
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/25/23,7362,16
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/26/23,7292,25
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/21/23,7157,12
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,10/2/23,6982,17
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/28/23,6882,18
/search/results,https://www.thermofisher.com/search/results,9/26/23,6625,16
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/14/23,6521,20
/search/results,https://www.thermofisher.com/search/results,9/15/23,6501,9
/search/results,https://www.thermofisher.com/search/results,9/25/23,6472,6
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,10/9/23,6364,7
/search/results,https://www.thermofisher.com/search/results,10/3/23,6230,7
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/20/23,6209,22
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/12/23,6207,21
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,10/6/23,6155,23
/search/results,https://www.thermofisher.com/search/results,10/4/23,6144,12
/search/results,https://www.thermofisher.com/search/results,9/21/23,6034,9
/search/results,https://www.thermofisher.com/search/results,10/5/23,5998,7
/search/results,https://www.thermofisher.com/search/results,9/27/23,5966,15
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/22/23,5934,16
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/19/23,5739,25
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/29/23,5703,16
/search/results,https://www.thermofisher.com/search/results,10/2/23,5658,12
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/18/23,5607,15
/search/results,https://www.thermofisher.com/search/results,9/28/23,5596,11
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/13/23,5352,21
/us/en/home.html,https://www.thermofisher.com/us/en/home.html,9/15/23,4909,17
/search/results,https://www.thermofisher.com/search/results,9/22/23,4838,6
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/13/23,4630,8
/search/results,https://www.thermofisher.com/search/results,10/6/23,4612,9
/search/results,https://www.thermofisher.com/search/results,9/29/23,4610,9
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/14/23,4410,10
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/12/23,4389,6
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/19/23,4363,7
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/18/23,4262,10
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/20/23,3996,5
/search/results,https://www.thermofisher.com/search/results,9/17/23,3398,4
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,10/4/23,3263,8
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,10/3/23,3161,2
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/26/23,3153,4
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/27/23,3135,5
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,10/5/23,3133,3
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/25/23,3129,4
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,9/21/23,3061,6
/document-connect/document-connect.html,https://www.thermofisher.com/document-connect/document-connect.html,10/2/23,3057,2
